Eval epoch 66, loss: 0.570, acc: 0.694
Epoch 67, loss: 0.538, acc: 0.734
Eval epoch 67, loss: 0.573, acc: 0.676
Epoch 68, loss: 0.585, acc: 0.731
Eval epoch 68, loss: 0.589, acc: 0.640
Epoch 69, loss: 0.532, acc: 0.746
Eval epoch 69, loss: 0.606, acc: 0.685
Epoch 70, loss: 0.537, acc: 0.746
Eval epoch 70, loss: 0.576, acc: 0.685
Epoch 71, loss: 0.538, acc: 0.739
Eval epoch 71, loss: 0.580, acc: 0.676
Epoch 72, loss: 0.562, acc: 0.711
Eval epoch 72, loss: 0.558, acc: 0.721
Epoch 73, loss: 0.532, acc: 0.733
Eval epoch 73, loss: 0.575, acc: 0.676
Epoch 74, loss: 0.551, acc: 0.736
Eval epoch 74, loss: 0.587, acc: 0.676
Epoch 75, loss: 0.556, acc: 0.742
Eval epoch 75, loss: 0.572, acc: 0.703
Epoch 76, loss: 0.533, acc: 0.736
Eval epoch 76, loss: 0.575, acc: 0.685
Epoch 77, loss: 0.601, acc: 0.729
Eval epoch 77, loss: 0.595, acc: 0.649
Epoch 78, loss: 0.564, acc: 0.718
Eval epoch 78, loss: 0.583, acc: 0.676
Epoch 79, loss: 0.563, acc: 0.746
Eval epoch 79, loss: 0.570, acc: 0.667
Epoch 80, loss: 0.546, acc: 0.733
Eval epoch 80, loss: 0.581, acc: 0.658
Epoch 81, loss: 0.540, acc: 0.735
Eval epoch 81, loss: 0.572, acc: 0.676
Epoch 82, loss: 0.540, acc: 0.733
Eval epoch 82, loss: 0.596, acc: 0.703
Epoch 83, loss: 0.583, acc: 0.719
Eval epoch 83, loss: 0.570, acc: 0.703
Epoch 84, loss: 0.556, acc: 0.742
Eval epoch 84, loss: 0.600, acc: 0.703
Epoch 85, loss: 0.583, acc: 0.726
Eval epoch 85, loss: 0.577, acc: 0.703
Epoch 86, loss: 0.535, acc: 0.736
Eval epoch 86, loss: 0.590, acc: 0.658
Epoch 87, loss: 0.526, acc: 0.740
Eval epoch 87, loss: 0.563, acc: 0.739
Epoch 88, loss: 0.610, acc: 0.737
Eval epoch 88, loss: 0.583, acc: 0.685
Epoch 89, loss: 0.538, acc: 0.733
Eval epoch 89, loss: 0.587, acc: 0.658
Epoch 90, loss: 0.549, acc: 0.739
Eval epoch 90, loss: 0.592, acc: 0.676
Epoch 91, loss: 0.548, acc: 0.734
Eval epoch 91, loss: 0.587, acc: 0.712
Epoch 92, loss: 0.576, acc: 0.745
Eval epoch 92, loss: 0.578, acc: 0.694
Epoch 93, loss: 0.548, acc: 0.731
Eval epoch 93, loss: 0.572, acc: 0.649
Epoch 94, loss: 0.550, acc: 0.727
Eval epoch 94, loss: 0.583, acc: 0.694
Epoch 95, loss: 0.549, acc: 0.737
Eval epoch 95, loss: 0.589, acc: 0.676
Epoch 96, loss: 0.563, acc: 0.726
